,Unnamed: 0,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData,SeatClass
2769,8898,Чайный стол( буфет служебной столовой),637549741,столовая,Центральный административный округ,Пресненский район,"город Москва, Краснопресненская набережная, дом 12",0,37.556551670869105,55.754858971417725,"{type=Point, coordinates=[37.556551670869105, 55.754858971417725]}",Маленький
2770,8918,СТОЛОВАЯ ШК 1468,637549784,столовая,Центральный административный округ,Таганский район,"город Москва, Брошевский переулок, дом 21",75,37.67255881658663,55.735099097067405,"{type=Point, coordinates=[37.67255881658663, 55.73509909706741]}",Средний
2771,8925,ГБОУ Школа №480 им. В.В. Талалихина,637549796,столовая,Юго-Западный административный округ,район Южное Бутово,"город Москва, улица Талалихина, дом 7",0,37.580716367010325,55.507360342081526,"{type=Point, coordinates=[37.58071636701032, 55.50736034208152]}",Маленький
2772,8936,Столовая-Буфет,637549819,столовая,Центральный административный округ,район Замоскворечье,"город Москва, Озерковская набережная, дом 24",88,37.63735174830681,55.73999137821225,"{type=Point, coordinates=[37.6373517483068, 55.739991378212245]}",Средний
2773,8938,Столовая при ФГБОУ ВПО Российской академии народного хозяйства и государственной службы,637549822,столовая,Центральный административный округ,район Хамовники,"город Москва, Пречистенская набережная, дом 11, строение 2",50,37.603009217021494,55.73784062065234,"{type=Point, coordinates=[37.603009217021494, 55.73784062065235]}",Маленький
2774,8942,ИТ-СЕРВИС,637549836,столовая,Центральный административный округ,Тверской район,"город Москва, 1-я Тверская-Ямская улица, дом 23, строение 1",60,37.5866089574072,55.7752200056939,"{type=Point, coordinates=[37.5866089574072, 55.7752200056939]}",Маленький
2775,8954,Вай Мэ,637549866,столовая,Центральный административный округ,Красносельский район,"город Москва, Мясницкая улица, дом 11",45,37.63253944830328,55.762055450100505,"{type=Point, coordinates=[37.63253944830327, 55.76205545010051]}",Маленький
2776,8959,Столовая,637549877,столовая,Центральный административный округ,район Замоскворечье,"город Москва, Валовая улица, дом 35",120,37.626388528202966,55.72926417709484,"{type=Point, coordinates=[37.626388528202966, 55.72926417709484]}",Средний
2777,8965,БУФЕТ ШКОЛЫ 1305,637549892,столовая,Центральный административный округ,Красносельский район,"город Москва, 2-й Красносельский переулок, дом 18",130,37.669711720106115,55.784323703285246,"{type=Point, coordinates=[37.66971172010613, 55.78432370328523]}",Средний
2778,8968,СТОЛОВАЯ ПРИ МОСТ-БАНКЕ,637549898,столовая,Центральный административный округ,Таганский район,"город Москва, Воронцовская улица, дом 43, строение 1",120,37.66590496047756,55.733169379303,"{type=Point, coordinates=[37.665904960477555, 55.733169379303]}",Средний
2779,9033,Кулинария,637550084,столовая,Новомосковский административный округ,поселение Кокошкино,"город Москва, поселение Кокошкино, дачный посёлок Кокошкино, улица Горького, дом 1Б",5,37.167829,55.598575,"{type=Point, coordinates=[37.167829, 55.598575]}",Маленький
2780,9037,Столовая,637550092,столовая,Новомосковский административный округ,поселение Сосенское,"город Москва, поселение Сосенское, улица Поляны, владение 50, строение 1",143,37.525009999999995,55.554308,"{type=Point, coordinates=[37.52501, 55.554308]}",Большой
2781,9042,Столовая на базе ГБОУ Школа № 2083. СП «Родники»,637550100,столовая,Новомосковский административный округ,поселение Рязановское,"город Москва, поселение Рязановское, посёлок Знамя Октября, микрорайон ""Родники"", дом 11",272,37.541706,55.46911899999999,"{type=Point, coordinates=[37.541706, 55.469119]}",Большой
2782,9045,Комбинат дошкольного питания,637550104,столовая,Троицкий административный округ,поселение Роговское,"город Москва, поселение Роговское, посёлок Рогово, Школьная улица, дом 5А",120,37.075601,55.214275,"{type=Point, coordinates=[37.075601, 55.214275]}",Средний
2783,9047,"Столовая на базе ГБОУ г.Москвы «Школа 2070», корпус 5",637550109,столовая,Новомосковский административный округ,"поселение ""Мосрентген""","город Москва, поселение ""Мосрентген"", посёлок Завода Мосрентген, улица Героя России Соломатина, дом 9",120,37.472384999999996,55.612708,"{type=Point, coordinates=[37.472385, 55.612708]}",Средний
2784,9048,Сатурн-ШБ-3,637550112,столовая,Троицкий административный округ,поселение Вороновское,"город Москва, поселение Вороновское, посёлок ЛМС, микрорайон ""Центральный"", дом 34, строение 1",290,37.182896,55.314392000000005,"{type=Point, coordinates=[37.182896, 55.314392]}",Большой
2785,9050,ГБОУ города Москвы школа №1788 структурное подразделение №5,637550116,столовая,Новомосковский административный округ,поселение Внуковское,"город Москва, поселение Внуковское, посёлок Внуково, Полевая улица, дом 4",65,37.268875,55.632014,"{type=Point, coordinates=[37.268875, 55.632014]}",Средний
2786,9057,Столовая при МАОУ «Гимназия им. Н.В. Пушкова»,637550129,столовая,Троицкий административный округ,поселение Троицк,"город Москва, город Троицк, Школьная улица, дом 10",200,37.3007569465232,55.47539286930387,"{type=Point, coordinates=[37.3007569465232, 55.47539286930387]}",Большой
2787,9058,Столовая при МАОУ «Лицей города Троицка»,637550131,столовая,Троицкий административный округ,поселение Троицк,"город Москва, город Троицк, Школьная улица, дом 10А",125,37.3007569465232,55.47539286930387,"{type=Point, coordinates=[37.3007569465232, 55.47539286930387]}",Средний
2788,9062,Кулинарная лавка «Ем и Ем»,637550139,столовая,Троицкий административный округ,поселение Троицк,"город Москва, город Троицк, Калужское шоссе, дом 17",20,37.303754999999995,55.468724,"{type=Point, coordinates=[37.303755, 55.468724]}",Маленький
2789,9071,ГБОУ города Москвы «Школа № 2057»,637550166,столовая,Новомосковский административный округ,поселение Кокошкино,"город Москва, поселение Кокошкино, дачный посёлок Кокошкино, Дачная улица, дом 3А",107,37.16115,55.597871999999995,"{type=Point, coordinates=[37.16115, 55.597872]}",Средний
2790,9072,ГБОУ г.Москвы Школа №2057 ДШО-3,637550167,столовая,Новомосковский административный округ,поселение Кокошкино,"город Москва, поселение Кокошкино, дачный посёлок Кокошкино, Дачная улица, дом 9А",140,37.164654999999996,55.598375,"{type=Point, coordinates=[37.164655, 55.598375]}",Большой
